"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.215296750E0,5.266797638E0,-1.335088669E1,3.480412445E0,1.476816182E1
2.225353750E0,5.667065277E0,-1.287757095E1,3.488345947E0,1.449537926E1
2.235410750E0,5.495072937E0,-1.268073029E1,3.087030487E0,1.416073813E1
2.245467750E0,5.021008759E0,-1.318967194E1,2.855462036E0,1.439901518E1
2.255524750E0,4.850363617E0,-1.422102722E1,3.007994843E0,1.532356602E1
2.265581750E0,4.968917084E0,-1.502470596E1,3.199596405E0,1.614525761E1
2.275638750E0,5.233566742E0,-1.504371643E1,3.069666595E0,1.622117375E1
2.285695750E0,5.373376007E0,-1.418435349E1,2.796933746E0,1.542374442E1
2.295752750E0,5.214556274E0,-1.298429901E1,2.600392456E0,1.423185367E1
2.305808750E0,4.639751587E0,-1.195773376E1,2.384990387E0,1.304618223E1
2.315865750E0,3.965852966E0,-1.106798401E1,1.967658234E0,1.192056788E1
2.325922750E0,3.505410461E0,-1.022957748E1,1.500928802E0,1.091718578E1
2.335979750E0,3.082390137E0,-9.528884583E0,1.204245758E0,1.008716899E1
2.346036750E0,2.744093628E0,-9.223220215E0,1.099014587E0,9.685332934E0
2.356093750E0,3.000510406E0,-9.436077576E0,1.689386902E0,1.004473249E1
2.366150750E0,4.655768280E0,-1.190354645E1,3.678750000E0,1.330051871E1
2.376207750E0,6.101461945E0,-1.460572723E1,1.033001862E0,1.586260378E1
2.386264750E0,6.060297546E0,-1.349174377E1,-3.383563843E0,1.517243753E1
2.396320750E0,6.074667664E0,-1.097727264E1,-6.220464478E0,1.400343816E1
2.406377750E0,6.173462219E0,-9.413324890E0,-8.482111359E0,1.409498260E1
2.416434750E0,5.068609772E0,-9.160800018E0,-9.356143799E0,1.404095754E1
2.426491750E0,3.116818542E0,-9.244775391E0,-8.824150085E0,1.315469705E1
2.436548750E0,1.008003845E0,-9.566007385E0,-7.518415375E0,1.220865016E1
2.446605750E0,-1.630110168E-1,-9.458979950E0,-5.787714386E0,1.109037926E1
2.456662750E0,-7.909552002E-1,-8.983867950E0,-4.289929047E0,9.986940708E0
2.466719750E0,-1.161883850E0,-8.433761902E0,-3.129542084E0,9.070410550E0
